clade,species,copy,copy_id,cds_len_nt,protein_aa,n_exons,ORF_status,has_RNAseq,RNAseq_tissue,RNAseq_status_per_copy,RNAseq_seq_exact_match
Viperidae,Crotalus_adamanteus,C9A,Crotalus_adamanteus_C9A,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=104029; locus_cov=1.00,"CONFIRMED_exact (pid=99.77%,cov=1.000)"
Viperidae,Crotalus_adamanteus,C9B,Crotalus_adamanteus_C9B,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=839; locus_cov=0.64,"CHIMERIC_consensus:NOT_rnaseq-confirmable(genome/NCBI-validated) (pid=91.33%,cov=0.467)"
Viperidae,Crotalus_tigris,C9A,Crotalus_tigris_C9A,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=40783; locus_cov=1.00,"CONFIRMED_exact (pid=99.89%,cov=1.010)"
Viperidae,Crotalus_tigris,C9B,Crotalus_tigris_C9B,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=175; locus_cov=0.66,"CHIMERIC_consensus:NOT_rnaseq-confirmable(genome/NCBI-validated) (pid=NA%,cov=NA)"
Viperidae,Protobothrops_mucrosquamatus,C9A,Protobothrops_mucrosquamatus_C9A,1752,583,11,intact (ATG start / stop / 0 internal),no,,NA,NA
Viperidae,Protobothrops_mucrosquamatus,C9B,Protobothrops_mucrosquamatus_C9B_remnant,690,229,4,DEGRADED (noATG; stop; 0 internal stops),no,,NA,NA
Viperidae,Vipera_berus,C9A,Vipera_berus_C9A,1752,583,11,intact (ATG start / stop / 0 internal),no,,NA,NA
Viperidae,Vipera_berus,C9B,Vipera_berus_C9B,1752,583,11,intact (ATG start / stop / 0 internal),no,,NA,NA
Viperidae,Vipera_seoanei,C9A,Vipera_seoanei_C9A,1752,583,11,intact (ATG start / stop / 0 internal),no,,NA,NA
Viperidae,Vipera_seoanei,C9B,Vipera_seoanei_C9B,1752,583,11,intact (ATG start / stop / 0 internal),no,,NA,NA
Elapidae,Bungarus_multicinctus,C9A,Bungarus_multicinctus_C9A,1755,584,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=1580; locus_cov=0.49,—
Elapidae,Bungarus_multicinctus,C9B,Bungarus_multicinctus_C9B,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=76; locus_cov=0.45,—
Elapidae,Hydrophis_cyanocinctus,C9A,Hydrophis_cyanocinctus_C9A,1752,583,11,intact (ATG start / stop / 0 internal),no,,NA,NA
Elapidae,Hydrophis_cyanocinctus,C9B,Hydrophis_cyanocinctus_C9B,1752,583,11,intact (ATG start / stop / 0 internal),no,,NA,NA
Elapidae,Hydrophis_major,C9A,Hydrophis_major_C9A,1752,583,11,intact (ATG start / stop / 0 internal),no,,NA,NA
Elapidae,Hydrophis_major,C9B,Hydrophis_major_C9B,1752,583,11,intact (ATG start / stop / 0 internal),no,,NA,NA
Elapidae,Laticauda_colubrina,C9A,Laticauda_colubrina_C9A,1752,583,11,intact (ATG start / stop / 0 internal),no,,NA,NA
Elapidae,Laticauda_colubrina,C9B,Laticauda_colubrina_C9B,1752,583,11,intact (ATG start / stop / 0 internal),no,,NA,NA
Elapidae,Naja_naja,C9A,Naja_naja_C9A,1755,584,11,intact (ATG start / stop / 0 internal),yes,liver;lung,intact; reads=128227; locus_cov=1.00,—
Elapidae,Naja_naja,C9B,Naja_naja_C9B,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver;lung,intact; reads=76; locus_cov=0.32,—
Elapidae,Notechis_scutatus,C9A,Notechis_scutatus_C9A,1755,584,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=218517; locus_cov=1.00,"CONFIRMED_exact (pid=99.15%,cov=1.010)"
Elapidae,Notechis_scutatus,C9B,Notechis_scutatus_C9B,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=104; locus_cov=0.97,—
Elapidae,Pseudonaja_textilis,C9A,Pseudonaja_textilis_C9A,1755,584,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=197275; locus_cov=1.00,"CONFIRMED_exact (pid=99.26%,cov=1.007)"
Elapidae,Pseudonaja_textilis,C9B,Pseudonaja_textilis_C9B,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=267; locus_cov=0.75,"CHIMERIC_consensus:NOT_rnaseq-confirmable(genome/NCBI-validated) (pid=96.18%,cov=0.732)"
